year,Frequency,data_type,Commodity,Geography,Unit,value
1975,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,558000000
1976,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,633200000
1977,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1135600000
1978,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1435900000
1979,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1709500000
1980,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2034300000
1981,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1392100000
1982,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2536600000
1983,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,3523100000
1984,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1006300000
1985,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1648200000
1986,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,4039522000
1987,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,4881693000
1988,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,4259086000
1989,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1930428000
1990,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1344457000
1991,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1521245000
1992,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1100311000
1993,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2112981000
1994,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,850143000
1995,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1557840000
1996,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,425942000
1997,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,883161000
1998,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1307803000
1999,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1786977000
2000,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1717549000
2001,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1899108000
2002,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1596426000
2003,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1086673000
2004,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,958091000
2005,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2113972000
2006,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1967161000
2007,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1303647000
2008,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1624150000
2009,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1673311000
2010,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1707787000
2011,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1127645000
2012,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,989027000
2013,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,821185000
2014,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1231904000
2015,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1731164000
2016,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1737058000
2017,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2370096000
1975,MY Sep-Aug,Total supply,Corn,United States,Million bushels,6400254000
1976,MY Sep-Aug,Total supply,Corn,United States,Million bushels,6924800000
1977,MY Sep-Aug,Total supply,Corn,United States,Million bushels,7643039000
1978,MY Sep-Aug,Total supply,Corn,United States,Million bushels,8704979000
1979,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9638360000
1980,MY Sep-Aug,Total supply,Corn,United States,Million bushels,8674544000
1981,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9511306000
1982,MY Sep-Aug,Total supply,Corn,United States,Million bushels,10772190000
1983,MY Sep-Aug,Total supply,Corn,United States,Million bushels,7699059000
1984,MY Sep-Aug,Total supply,Corn,United States,Million bushels,8680163000
1985,MY Sep-Aug,Total supply,Corn,United States,Million bushels,10533551000
1986,MY Sep-Aug,Total supply,Corn,United States,Million bushels,12267043000
1987,MY Sep-Aug,Total supply,Corn,United States,Million bushels,12016404000
1988,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9190549000
1989,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9464283000
1990,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9281900000
1991,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9015647000
1992,MY Sep-Aug,Total supply,Corn,United States,Million bushels,10584100000
1993,MY Sep-Aug,Total supply,Corn,United States,Million bushels,8471526000
1994,MY Sep-Aug,Total supply,Corn,United States,Million bushels,10910220000
1995,MY Sep-Aug,Total supply,Corn,United States,Million bushels,8974378000
1996,MY Sep-Aug,Total supply,Corn,United States,Million bushels,9671760000
1997,MY Sep-Aug,Total supply,Corn,United States,Million bushels,10098803000
1998,MY Sep-Aug,Total supply,Corn,United States,Million bushels,11085294000
1999,MY Sep-Aug,Total supply,Corn,United States,Million bushels,11232333000
2000,MY Sep-Aug,Total supply,Corn,United States,Million bushels,11639424000
2001,MY Sep-Aug,Total supply,Corn,United States,Million bushels,11411828000
2002,MY Sep-Aug,Total supply,Corn,United States,Million bushels,10577659000
2003,MY Sep-Aug,Total supply,Corn,United States,Million bushels,11188041000
2004,MY Sep-Aug,Total supply,Corn,United States,Million bushels,12774502000
2005,MY Sep-Aug,Total supply,Corn,United States,Million bushels,13234965000
2006,MY Sep-Aug,Total supply,Corn,United States,Million bushels,12510267000
2007,MY Sep-Aug,Total supply,Corn,United States,Million bushels,14361543000
2008,MY Sep-Aug,Total supply,Corn,United States,Million bushels,13680883000
2009,MY Sep-Aug,Total supply,Corn,United States,Million bushels,14748810000
2010,MY Sep-Aug,Total supply,Corn,United States,Million bushels,14160786000
2011,MY Sep-Aug,Total supply,Corn,United States,Million bushels,13470974000
2012,MY Sep-Aug,Total supply,Corn,United States,Million bushels,11904084000
2013,MY Sep-Aug,Total supply,Corn,United States,Million bushels,14685943000
2014,MY Sep-Aug,Total supply,Corn,United States,Million bushels,15479082000
2015,MY Sep-Aug,Total supply,Corn,United States,Million bushels,15400693000
2016,MY Sep-Aug,Total supply,Corn,United States,Million bushels,16940096000
2017,MY Sep-Aug,Total supply,Corn,United States,Million bushels,16573062000
1975,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4102560000
1976,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4144081000
1977,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4310743000
1978,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4882362000
1979,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5202543000
1980,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4891338000
1981,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4977945000
1982,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5427745000
1983,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,4806362000
1984,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5181712000
1985,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5266697000
1986,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5892879000
1987,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6040893000
1988,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5231668000
1989,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,5752523000
1990,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6034024000
1991,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6331419000
1992,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6807841000
1993,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6293061000
1994,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7174898000
1995,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6320612000
1996,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,6991230000
1997,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7286574000
1998,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7314124000
1999,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7578218000
2000,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7798968000
2001,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7910634000
2002,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,7903099000
2003,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,8330133000
2004,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,8842474000
2005,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,9133993000
2006,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,9081251000
2007,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,10299991000
2008,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,10158625000
2009,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,11061997000
2010,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,11202216000
2011,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,10942790000
2012,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,10352811000
2013,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,11533256000
2014,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,11881035000
2015,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,11762635000
2016,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,12345000000
2017,MY Sep-Aug,Total domestic use,Corn,United States,Million bushels,12450000000
